track_id,team,total_distance_m,max_speed_kmh,average_speed_kmh,frames_tracked,total_distance_km
1,1.0,63.6,42.31,23.93,55,0.064
2,1.0,28.47,42.31,22.13,58,0.028
3,1.0,60.71,42.0,25.53,68,0.061
4,1.0,67.37,43.13,23.51,113,0.067
5,1.0,42.85,40.14,24.95,71,0.043
6,1.0,28.57,38.7,1.86,803,0.029
7,1.0,31.68,36.01,2.13,879,0.032
8,1.0,50.66,41.75,2.36,866,0.051
9,1.0,1.96,10.84,1.98,85,0.002
9,2.0,33.43,31.51,2.11,702,0.033
10,1.0,33.65,35.15,2.49,749,0.034
14,1.0,83.91,39.61,25.46,56,0.084
18,1.0,117.1,41.64,18.85,147,0.117
37,1.0,2.66,27.96,23.14,5,0.003
40,1.0,3.5,34.45,34.45,4,0.003
44,1.0,154.31,42.91,22.73,209,0.154
49,1.0,54.29,41.53,22.41,83,0.054
58,1.0,4.54,18.47,18.47,6,0.005
60,1.0,15.9,42.26,26.47,26,0.016
61,1.0,99.73,42.64,23.4,110,0.1
74,1.0,65.47,43.02,26.14,92,0.065
90,1.0,31.23,35.15,23.08,38,0.031
95,1.0,27.93,41.95,39.19,21,0.028
100,1.0,51.18,43.07,23.93,58,0.051
103,1.0,87.36,40.81,22.11,70,0.087
112,1.0,58.59,40.5,18.77,77,0.059
113,1.0,36.68,34.07,15.62,36,0.037
118,1.0,13.91,37.17,33.55,13,0.014
135,1.0,3.88,22.44,22.33,4,0.004
140,1.0,52.75,37.69,22.15,50,0.053
143,1.0,49.11,42.45,28.31,51,0.049
148,1.0,29.01,36.28,19.41,39,0.029
152,1.0,34.18,34.62,18.76,32,0.034
161,1.0,13.28,38.74,31.18,14,0.013
176,1.0,57.96,36.94,25.15,39,0.058
177,1.0,42.14,40.54,20.96,79,0.042
178,1.0,9.68,42.39,32.7,21,0.01
179,1.0,29.97,42.34,23.07,68,0.03
193,,5.6,42.33,37.46,10,0.006
214,1.0,5.59,37.84,27.07,18,0.006
238,1.0,3.8,42.35,24.67,5,0.004
