team,track_id,median_x_m,median_y_m,min_x_m,max_x_m,min_y_m,max_y_m,observations
1,1,27.39,36.68,16.18,68.24,33.56,41.4,55
1,2,51.644999999999996,31.244999999999997,39.99,59.68,30.35,34.36,58
1,3,82.015,40.485,76.85,102.54,36.4,43.6,68
1,4,31.92,45.63,13.77,44.3,42.15,46.73,113
1,5,89.61,38.61,84.08,95.67,36.71,43.28,71
1,6,74.11,-1.05,68.53,74.21,-1.14,6.68,803
1,7,30.09,-0.89,28.99,30.25,-1.05,2.21,879
1,8,9.81,-0.86,8.42,12.02,-0.99,4.3,866
1,9,51.29,-0.92,51.19,51.43,-0.95,-0.9,85
1,10,93.36,-0.92,89.98,94.01,-1.09,7.43,749
1,14,26.9,46.92,-0.09,76.34,43.37,54.03,56
1,18,50.31,39.87,0.34,103.08,37.13,55.79,147
1,37,29.68,40.69,29.42,29.95,40.5,42.75,5
1,40,62.144999999999996,32.975,60.11,62.76,32.06,33.54,4
1,44,28.65,46.16,1.51,64.01,41.68,50.12,209
1,49,74.39,38.01,65.78,86.7,33.4,41.97,83
1,58,69.89,34.61,69.05,70.69,33.54,35.71,6
1,60,57.364999999999995,34.224999999999994,55.99,66.22,33.47,37.16,26
1,61,94.9,45.67,76.95,104.41,41.96,49.8,110
1,74,70.32,45.8,60.2,82.34,41.52,50.97,92
1,90,81.57,45.345,76.88,91.26,43.2,49.05,38
1,95,90.44,38.12,79.57,105.09,34.95,38.76,21
1,100,99.36500000000001,49.65,89.13,107.03,45.39,52.64,58
1,103,52.655,44.545,26.49,103.94,43.63,54.03,70
1,112,32.91,41.25,3.85,44.32,38.98,45.92,77
1,113,72.055,30.54,65.96,102.34,30.13,30.92,36
1,118,81.53,51.31,79.16,90.32,50.01,51.92,13
1,135,101.445,54.855000000000004,101.09,102.15,52.11,55.23,4
1,140,81.89,44.655,56.92,105.38,42.8,47.49,50
1,143,87.68,51.25,58.52,106.76,50.88,52.09,51
1,148,103.08,46.2,79.87,104.6,45.94,46.92,39
1,152,104.21000000000001,62.0,79.36,106.42,56.42,62.48,32
1,161,99.545,58.79,91.8,105.02,58.47,59.05,14
1,176,60.39,32.93,35.78,87.25,32.31,34.95,39
1,177,87.13,19.67,81.87,101.5,13.38,20.19,79
1,178,34.52,8.9,30.4,40.06,8.69,9.02,21
1,179,94.705,9.485,75.57,96.96,8.67,9.91,68
1,214,51.629999999999995,9.03,48.73,54.3,8.91,9.16,18
1,238,16.56,32.29,14.18,17.83,32.22,32.7,5
1,253,65.55,44.58,65.04,65.84,44.32,44.66,3
1,255,15.215,56.845,1.46,57.58,51.38,59.33,86
1,262,2.7199999999999998,41.019999999999996,0.84,3.91,40.92,41.13,4
1,263,51.415000000000006,45.96,46.54,64.29,44.12,47.81,54
1,264,13.27,41.31999999999999,6.43,30.47,38.23,42.5,48
1,265,35.74,43.36,21.37,95.59,39.31,45.45,75
1,266,17.75,66.71,1.17,53.04,59.57,69.45,39
1,272,26.57,39.31,26.57,26.57,39.31,39.31,1
1,282,15.42,40.84,14.99,16.72,40.1,42.02,11
1,291,81.915,43.864999999999995,72.77,103.29,41.35,45.11,44
1,293,2.535,48.265,0.44,5.89,47.94,48.38,6
1,296,26.125,39.94,18.08,42.45,37.76,41.14,24
1,301,0.07,69.04,0.07,0.07,69.04,69.04,1
1,319,67.34,36.12,45.15,69.25,35.98,38.5,7
1,321,64.81,37.48,56.05,68.01,36.88,37.63,13
1,322,97.99,43.7,87.2,103.43,43.39,44.89,19
1,323,61.18,39.7,47.53,69.55,39.04,39.94,19
1,325,14.56,62.88,7.29,19.09,61.51,65.61,17
1,331,17.74,41.65,8.71,22.61,41.55,43.7,15
1,337,83.97,42.61,83.65,86.39,42.5,43.0,9
1,341,2.66,46.19,0.97,4.38,46.15,46.3,5
1,345,25.74,60.519999999999996,18.6,26.96,50.44,69.5,60
1,346,80.49,58.67,77.57,85.8,53.14,61.97,33
1,348,91.29,18.24,91.29,91.29,18.24,18.24,1
1,351,96.98,66.55,96.98,96.98,66.55,66.55,1
1,356,84.37,45.56,82.75,90.48,43.39,47.2,21
1,366,6.48,28.44,6.15,6.73,28.41,28.46,9
1,367,53.5,44.14,11.87,73.13,41.81,47.58,58
1,368,95.36,28.44,85.51,96.89,27.0,30.03,34
1,369,33.03,23.1,7.25,34.8,22.94,23.39,40
1,370,46.86,30.32,17.92,48.89,30.06,30.59,44
1,371,2.29,22.435,1.27,2.74,21.79,23.24,16
1,373,82.21,25.18,55.06,85.46,24.97,25.53,41
1,378,66.31,26.61,39.35,73.25,25.66,27.31,45
1,380,43.25,36.53,12.41,52.21,33.87,40.34,39
1,385,85.0,30.05,80.24,85.16,29.35,30.14,7
1,389,106.625,13.675,106.46,106.67,13.62,14.05,8
1,390,106.56,30.14,105.82,106.76,29.45,30.15,3
1,391,3.44,28.34,0.89,5.43,28.14,35.56,5
1,392,39.445,26.15,8.89,39.91,25.43,35.39,16
1,397,99.88,29.485,94.58,104.41,29.4,29.96,10
1,402,78.73,29.57,64.73,85.33,29.17,29.73,17
1,404,14.46,33.89,11.12,25.42,30.87,34.58,32
1,410,73.79,34.5,67.73,105.1,33.48,35.57,31
1,430,88.395,59.34,83.74,103.65,57.86,59.48,22
1,441,86.285,31.835,82.35,89.46,31.73,32.12,18
1,448,67.795,29.200000000000003,65.54,69.07,28.92,29.31,10
1,453,4.5,22.88,2.31,6.04,22.82,23.12,13
1,455,65.295,25.995,64.67,65.73,25.75,26.06,4
1,457,16.53,29.94,15.11,18.37,29.73,32.23,11
1,458,52.33,29.1,49.59,54.87,28.82,29.33,11
1,460,21.735,32.0,19.56,24.1,31.54,32.51,6
1,465,52.46,25.19,52.1,52.66,25.15,25.21,3
1,476,13.51,27.12,13.51,13.51,27.12,27.12,1
1,480,40.5,61.77,36.35,48.67,61.74,65.35,3
1,483,24.85,45.56,12.59,27.15,45.18,45.84,62
1,484,99.525,39.465,98.96,100.29,39.33,39.77,48
1,485,63.92,38.865,30.27,66.98,34.18,45.45,88
1,488,77.77,38.415,68.05,87.13,37.02,49.63,60
1,491,9.690000000000001,40.540000000000006,7.23,11.19,40.42,40.65,6
1,492,50.275,39.035,49.21,51.07,38.79,39.32,56
1,499,10.34,40.55,10.34,10.34,40.55,40.55,1
1,501,58.88,39.2,58.88,58.88,39.2,39.2,1
1,505,57.53,38.6,57.53,57.53,38.6,38.6,1
1,515,45.03,15.23,45.03,45.03,15.23,15.23,1
1,517,86.795,37.275,86.18,86.99,37.2,37.4,12
1,525,60.34,38.28,60.34,60.34,38.28,38.28,1
1,527,45.629999999999995,51.965,35.35,70.36,46.47,58.26,42
1,529,79.715,27.134999999999998,53.11,95.38,24.66,33.24,26
1,530,60.91,40.98,56.97,78.87,33.8,46.5,39
1,531,29.55,33.52,22.93,46.86,27.72,39.25,41
1,532,36.315,33.635000000000005,30.56,50.68,27.54,38.11,42
1,533,8.23,24.810000000000002,6.29,17.13,21.15,27.46,28
1,534,8.375,38.17,5.25,22.21,31.91,43.68,40
1,536,14.18,28.82,10.08,28.05,23.35,31.72,36
1,557,19.66,22.31,19.66,19.66,22.31,22.31,1
1,581,48.17,16.015,46.93,57.47,13.79,16.84,24
1,582,27.88,10.4,27.88,27.88,10.4,10.4,1
1,584,16.18,24.51,16.18,16.18,24.51,24.51,1
1,586,54.05,13.87,53.41,54.2,13.69,13.91,9
1,596,71.97,14.52,71.97,71.97,14.52,14.52,1
1,597,44.585,16.37,43.84,48.63,14.74,16.43,14
1,600,83.45,26.82,83.45,83.45,26.82,26.82,1
1,615,12.3,27.314999999999998,12.11,12.49,27.25,27.38,2
1,624,14.24,51.480000000000004,13.82,14.73,50.34,53.51,16
1,627,41.835,67.675,39.87,44.84,65.83,68.95,24
1,629,78.79,58.65,77.69,79.11,52.53,59.84,11
1,630,62.74,46.16,2.04,99.44,41.31,68.41,105
1,631,73.56,34.58,34.99,91.37,32.75,37.0,58
1,632,85.36,32.175,62.1,105.59,31.56,32.64,32
1,633,87.38,32.87,74.95,99.07,32.59,36.1,15
1,634,38.6,34.644999999999996,21.79,55.61,33.83,36.09,52
1,644,25.87,36.91,2.3,39.24,36.11,37.93,55
1,648,29.02,35.62,24.92,32.76,35.25,36.19,11
1,659,78.58,36.63,76.37,81.27,36.61,36.63,3
1,669,94.73,30.31,79.49,105.23,27.28,30.53,17
1,670,7.6899999999999995,30.02,4.4,11.46,29.6,30.16,8
1,678,90.515,36.754999999999995,90.12,90.91,36.75,36.76,2
1,680,12.684999999999999,38.6,-0.55,17.2,37.92,39.86,42
1,717,1.48,41.68,0.62,2.34,41.31,42.16,21
1,719,45.254999999999995,36.459999999999994,35.93,48.21,36.32,36.56,20
1,730,26.53,32.36,26.53,26.53,32.36,32.36,1
1,735,29.54,34.305,28.84,30.05,34.2,34.37,6
1,737,10.085,51.129999999999995,7.71,17.06,51.01,51.38,6
1,740,30.89,55.0,16.58,59.56,52.01,68.22,36
1,746,1.03,51.35,1.03,1.03,51.35,51.35,1
1,755,40.355000000000004,65.235,19.2,54.93,60.15,69.44,18
1,758,16.54,5.3,2.75,24.08,4.84,5.5,5
1,759,93.41,-0.78,93.06,93.81,-0.95,-0.74,72
1,760,70.53,54.63,63.61,81.04,53.6,55.76,7
1,762,74.11,-1.01,73.68,74.3,-1.09,-0.87,72
1,764,105.45500000000001,57.53,104.98,105.93,57.52,57.54,2
1,766,39.03,55.245000000000005,31.61,101.97,54.62,63.57,64
1,773,95.4,34.54,93.8,97.3,33.49,35.15,7
1,774,57.72,38.27,57.72,57.72,38.27,38.27,1
1,775,95.24,3.145,94.4,97.5,2.73,3.61,4
1,777,22.56,69.75,13.39,29.83,69.05,69.79,7
1,778,28.75,4.885,25.94,31.28,4.61,5.06,4
1,784,19.16,39.864999999999995,7.04,31.29,39.16,40.61,8
1,792,79.485,64.19,72.63,94.62,60.54,69.46,38
1,812,60.935,64.515,59.47,63.4,63.8,67.16,26
1,813,43.68,56.31,43.66,43.91,56.3,56.32,3
1,814,50.16,51.18,46.53,51.57,49.47,52.58,9
2,9,51.26,-0.94,46.71,52.81,-1.08,6.06,702
2,301,0.36,68.87,0.36,0.36,68.87,68.87,1
2,348,91.8,28.08,91.8,91.8,28.08,28.08,1
2,484,99.515,39.455,98.92,99.57,39.43,39.47,14
2,485,65.71,39.27,64.22,67.05,38.83,39.43,15
2,488,85.9,37.56,85.71,86.5,37.03,37.6,19
2,502,75.95,37.58,75.28,76.09,37.55,37.67,7
2,503,10.595,38.54,9.26,11.35,36.76,40.01,30
2,670,21.17,30.98,17.06,25.12,30.58,31.27,13
2,680,1.53,38.379999999999995,0.12,2.98,38.21,38.68,6
2,714,63.86,8.565000000000001,61.51,66.72,8.53,8.66,4
2,745,51.32,-0.89,51.17,51.84,-1.06,0.9,75
2,755,53.15,60.8,53.15,53.15,60.8,60.8,1
2,766,92.14500000000001,59.629999999999995,90.16,94.44,59.41,59.85,4
