frame,team,players,centroid_x_m,centroid_y_m,width_m,depth_m,spread_m
0,1,9,53.11333333333333,20.848888888888887,83.72,43.31,36.55149440460508
1,1,9,53.75222222222222,20.65555555555556,83.67,43.17,36.67548345175225
2,1,9,54.09444444444445,20.421111111111113,83.89999999999999,43.38,36.451653690746646
3,1,10,48.736,23.722,93.78,55.06,39.47787456284849
4,1,9,54.41333333333333,20.693333333333335,83.58,43.620000000000005,36.24951739142345
5,1,10,49.229,23.714,93.29,51.42,39.20612723797136
6,1,10,49.405,23.695,92.01,51.050000000000004,38.89317767938228
7,1,9,54.78666666666667,20.74888888888889,83.57,44.050000000000004,36.173616058744145
8,1,10,49.67700000000001,23.663,91.38,52.99,38.920276489254285
9,1,10,49.769,23.805999999999997,91.3,53.400000000000006,38.97289485013912
10,1,10,50.01599999999999,23.723999999999997,90.47999999999999,53.480000000000004,38.786872109001
11,1,10,50.235,23.592999999999996,89.63,53.18,38.424553946662805
12,1,10,50.44,23.566999999999997,88.53,52.32,38.15702872342132
13,1,10,50.537,23.560000000000002,87.41,51.85,37.98008242487107
14,1,10,50.70599999999999,23.613,86.31,51.660000000000004,37.790321578414755
15,1,11,46.25,24.89272727272727,92.62,51.64,38.91467054301082
16,1,11,46.25727272727273,24.90636363636364,92.62,51.61000000000001,38.90081148105136
17,1,10,50.861000000000004,23.707,84.64,51.52,37.552050676361205
18,1,10,50.842,23.663999999999998,83.91000000000001,51.440000000000005,37.325341257649605
19,1,10,50.742,23.478,83.65,50.89,37.02666541831711
20,1,10,50.632999999999996,23.436,83.61000000000001,50.1,36.72217946963388
21,1,10,50.635999999999996,23.468,83.64999999999999,49.800000000000004,36.62234044951251
22,1,10,50.615,23.487000000000002,83.67,49.69,36.60291991084864
23,1,10,50.396,23.484,83.67999999999999,49.68,36.532623612327654
24,1,10,50.339,23.380000000000003,83.61,49.81,36.24733850919264
25,1,10,50.571000000000005,23.477,83.63,49.800000000000004,36.03976789603396
26,1,11,46.42,24.784545454545455,93.03999999999999,49.63,37.30109975557298
27,1,11,46.65545454545454,24.64363636363636,92.77,49.27,36.99701060070164
28,1,11,46.69909090909091,24.585454545454546,92.69,49.150000000000006,36.873095591669504
29,1,11,46.99181818181818,24.473636363636366,92.12,48.89,36.66887932216912
30,1,11,47.31909090909091,24.430000000000003,91.58,48.53,36.39093205095453
31,1,11,47.647272727272735,24.566363636363633,91.27,48.18,36.251363952681174
32,1,11,47.958181818181814,24.518181818181823,91.22,47.94,36.10449824313349
33,1,11,48.05454545454545,24.481818181818184,91.22999999999999,47.87,36.05277424247006
34,1,11,48.26545454545454,24.512727272727272,91.02,47.93,35.917029249127005
35,1,10,49.991,23.508,90.83,47.44,37.03190334022814
36,1,9,46.44222222222223,20.55111111111111,90.31,47.15,36.529062165843364
37,1,9,46.71666666666667,20.42888888888889,89.99,47.12,36.308351180301464
38,1,10,50.190000000000005,22.490999999999996,89.69,47.11,36.09741720677533
39,1,10,50.022000000000006,22.490000000000002,89.91,47.129999999999995,36.0433457936413
40,1,9,51.73555555555556,21.23222222222222,89.63000000000001,46.83,37.28506638466186
41,1,9,51.691111111111105,19.86888888888889,88.73,41.56,36.426905773034456
42,1,11,49.064545454545446,24.473636363636363,87.43,46.33,34.74925104133734
43,1,11,49.1609090909091,24.41090909090909,86.48,46.47,34.57908456359419
44,1,11,49.21818181818182,24.512727272727272,86.34,46.55,34.63877751073234
45,1,10,49.112,23.818000000000005,85.43,46.52,35.91038278826891
46,1,11,49.65818181818181,24.673636363636362,85.33,46.54,34.27813564753886
47,1,11,50.040909090909096,24.681818181818183,84.16,46.34,34.105525351534055
48,1,12,48.70083333333333,26.01,83.66,46.13,33.26047139832641
49,1,12,49.04250000000001,25.951666666666668,83.63,46.04,33.24574056886419
50,1,12,49.404999999999994,26.015833333333333,83.67,45.910000000000004,33.312310026558585
51,1,11,51.75,24.684545454545454,83.7,46.03,33.84348825875756
52,1,11,51.78181818181818,24.682727272727266,83.72,46.11,33.8353728055797
53,1,10,51.646,23.753999999999998,83.71000000000001,45.620000000000005,35.28249293913343
54,1,10,47.403000000000006,24.075,83.7,46.480000000000004,34.69472821625787
55,1,8,47.285,19.6825,83.71,45.980000000000004,34.536928334031096
56,1,10,55.444,24.061,83.71000000000001,46.2,35.164663698093285
57,1,10,56.33200000000001,23.956,83.69,46.43,35.24604261473903
58,1,12,51.443333333333335,26.299166666666668,91.86999999999999,46.510000000000005,36.05367914459093
59,1,10,51.133,25.055,91.08,46.650000000000006,39.29725519676915
60,1,10,51.973,25.079,89.92,46.72,39.387377800508624
61,1,10,50.01199999999999,24.297,88.74,46.96,37.06410415752686
62,1,10,51.318999999999996,24.133,89.22,46.67,38.238654134265765
63,1,8,45.193749999999994,20.76375,87.5,46.56,38.55959117878456
64,1,8,46.7775,20.59875,88.46000000000001,46.53,39.785195798028944
65,1,9,54.22555555555555,22.75111111111111,86.61,46.78,39.001326346550364
66,1,9,54.595555555555556,22.802222222222223,85.87,47.050000000000004,39.08136267637012
67,1,10,52.682,24.410999999999998,85.97,47.42,37.83776797064013
68,1,10,52.66700000000001,24.378999999999998,85.91,47.55,37.781050408902075
69,1,11,54.26909090909091,25.23818181818182,84.72,47.7,36.4076653449211
70,1,8,44.582499999999996,19.994999999999997,83.62,47.69,35.812314833727235
71,1,11,54.309999999999995,25.227272727272727,83.92,47.050000000000004,36.339419390696
72,1,10,50.894999999999996,23.666000000000004,83.67,47.24,36.1055683932548
73,1,10,52.13199999999999,24.512999999999998,83.66,47.32,37.5379221188387
74,1,11,53.69636363636364,25.509999999999994,83.64999999999999,47.36,36.46851226437486
75,1,9,45.48,21.743333333333336,83.66,47.35,34.52590428456099
76,1,9,45.31,21.61111111111111,83.66000000000001,47.49,34.374863052476925
77,1,10,49.699,23.818999999999996,83.64999999999999,47.52,35.69298415655379
78,1,10,49.557,23.919,83.67,47.5,35.73830535993558
79,1,10,49.397,23.897,83.67,47.54,35.75235855156971
80,1,9,44.849999999999994,21.618888888888886,83.64999999999999,47.519999999999996,34.28282026660145
81,1,10,49.46999999999999,23.547,83.67,47.339999999999996,35.85958032381304
82,1,9,44.81888888888889,21.53666666666667,83.66999999999999,47.339999999999996,34.27677621443301
83,1,10,49.706999999999994,23.822,83.64,47.39,36.242517255290096
84,1,10,49.917,23.787,84.41,47.55,36.390174250750704
85,1,11,52.68545454545454,25.39,84.64,47.66,36.20042299191252
86,1,10,50.032,23.734,85.33,47.68,36.50609373789532
87,1,11,53.16454545454546,25.269999999999996,86.63999999999999,47.64,36.49933009687522
88,1,9,45.33888888888889,21.57333333333333,83.67,47.47,34.467636493268564
89,1,10,50.729,23.709,88.08999999999999,47.32,36.806852052301345
90,1,9,57.21777777777778,22.569999999999997,88.39,47.26,37.5256329512916
91,1,11,53.66000000000001,25.530909090909095,88.36999999999999,47.230000000000004,36.512197328002706
92,1,11,53.72,25.63,88.86999999999999,47.38,36.57286649466191
93,1,9,55.18555555555555,21.807777777777776,89.83999999999999,47.54,36.529343422298155
94,1,10,53.645,24.708000000000002,90.78,47.71,38.15886818290081
95,1,8,48.93625,20.947499999999998,91.34,47.769999999999996,40.26280904491762
96,1,10,53.977,24.602,91.48,47.4,38.09711953678388
97,1,10,54.25599999999999,24.731,91.88000000000001,47.31,38.13866637678879
98,1,9,52.60666666666666,23.380000000000003,91.9,47.290000000000006,39.617919907256336
99,1,11,55.10454545454545,25.820909090909087,91.66,47.21,36.55042191478452
100,1,11,55.25363636363636,25.91090909090909,91.92999999999999,47.33,36.76755504697357
101,1,11,55.48909090909091,25.899090909090912,92.68,47.32,36.946727966600996
102,1,10,54.754999999999995,24.937999999999995,93.2,47.370000000000005,38.45111209054948
103,1,9,52.488888888888894,22.95888888888889,93.66,47.34,39.18494407263214
104,1,10,53.895999999999994,24.388,93.53999999999999,47.300000000000004,37.60899839134247
105,1,9,52.766666666666666,22.99,93.78,47.13,39.09174962685719
106,1,8,50.695,21.197499999999998,93.62,47.28,40.49173704288321
107,1,10,55.40200000000001,25.014,93.3,47.28,38.08888998120056
108,1,10,53.306999999999995,25.032999999999998,83.7,47.080000000000005,35.854050566149425
109,1,9,51.49333333333333,23.647777777777776,83.7,46.81,36.81931853367129
110,1,11,57.940000000000005,26.475454545454543,92.81,46.730000000000004,37.17709665509774
111,1,11,58.200909090909086,26.670909090909092,93.56,46.690000000000005,37.22387086243814
112,1,11,58.12272727272727,26.64,93.57000000000001,46.7,37.24180595438145
113,1,11,57.99818181818182,26.634545454545457,92.42,46.7,37.06233328812867
114,1,12,59.80916666666667,27.35083333333333,92.08,46.68,36.022504289371355
115,1,12,60.14166666666667,27.47583333333333,92.12,46.71,36.18452783802921
116,1,12,60.20583333333334,27.5025,91.77000000000001,46.730000000000004,36.20873181598912
117,1,12,60.28083333333334,27.552499999999995,91.75,46.650000000000006,36.31081211414706
118,1,11,58.458181818181814,26.15818181818182,91.49,46.67,36.98738473793553
119,1,12,60.461666666666666,27.753333333333334,90.9,46.660000000000004,36.26948032130841
120,1,11,64.13181818181819,26.292727272727276,89.48,46.120000000000005,35.07643573400314
121,1,12,67.80499999999999,28.2025,97.27,48.74,36.24092383503305
122,1,12,67.8,28.250833333333336,97.26,48.77,36.28227654065029
123,1,12,67.75333333333332,28.245,97.15,48.9,36.354586329955985
124,1,11,64.16636363636363,26.528181818181817,87.9,46.59,35.45141799726111
125,1,11,64.17727272727274,26.73818181818182,87.58,46.540000000000006,35.52221863184964
126,1,12,67.38416666666667,28.344166666666666,95.24000000000001,48.410000000000004,36.14602742503125
127,1,9,60.15666666666667,23.823333333333338,93.95,48.510000000000005,37.61166072140689
128,1,12,63.240833333333335,28.283333333333335,93.58999999999999,47.050000000000004,37.70709278806545
129,1,12,63.21333333333334,28.212500000000002,93.54,46.43,37.696001657632365
130,1,12,63.276666666666664,28.254999999999995,92.78,46.410000000000004,37.648574969342754
131,1,12,63.34416666666667,28.368333333333336,91.74,46.59,37.55096609757346
132,1,11,57.86454545454546,27.434545454545454,84.0,47.11000000000001,35.359902233326565
133,1,13,64.86076923076922,29.813076923076917,92.64999999999999,47.1,36.46715610732777
134,1,13,65.23615384615384,30.058461538461543,94.10999999999999,48.06,36.480809577853684
135,1,13,65.3453846153846,30.173846153846156,94.58,48.760000000000005,36.492180016640056
136,1,13,65.68461538461538,30.14461538461539,95.42,48.870000000000005,36.416833012045664
137,1,12,62.81666666666666,29.30666666666667,89.84,48.03,35.748179596231815
138,1,12,63.48499999999999,29.3275,90.03999999999999,47.6,35.66833063680814
139,1,12,64.31416666666667,29.638333333333335,89.89999999999999,48.95,35.77349328102831
140,1,12,65.2625,29.8475,90.96000000000001,49.07,35.94343501716737
141,1,11,63.54272727272728,28.25909090909091,91.32,49.14,36.50882671490791
142,1,12,66.3875,29.875833333333336,92.05,48.370000000000005,36.10568182048667
143,1,12,66.8575,30.07916666666667,91.53,49.68,36.14946278608055
144,1,12,67.08416666666666,30.21083333333333,91.07000000000001,50.150000000000006,36.20158512106587
145,1,11,65.10272727272728,28.779999999999994,91.67,50.06,36.80013218625199
146,1,12,67.23666666666666,30.35666666666667,91.89,50.19,36.33007676537138
147,1,12,67.19833333333334,30.25166666666666,91.43,48.86,36.17220955988788
148,1,12,67.0075,30.442499999999995,90.08999999999999,50.24,36.10667557160771
149,1,12,66.635,30.546666666666667,89.47999999999999,50.58,35.97827859355636
150,1,14,61.840714285714284,31.210714285714285,94.92,50.89,36.942416954067355
151,1,13,61.20538461538461,31.20307692307692,93.56,50.04,37.97929881476932
152,1,14,61.40142857142858,31.099285714285713,93.07,50.089999999999996,36.49217182618536
153,1,14,61.134285714285724,31.042142857142856,91.58,49.88,36.18284121609838
154,1,12,58.13333333333335,28.411666666666665,89.24,50.79,37.14274944199892
155,1,12,57.76666666666667,28.47333333333334,87.17999999999999,51.410000000000004,36.797753705597
156,1,12,57.38083333333333,28.508333333333336,85.63,51.74,36.49465994993118
157,1,12,56.79833333333334,28.71166666666667,85.47,52.019999999999996,36.34964343398403
158,1,12,56.307500000000005,28.790833333333335,85.46000000000001,52.24,36.187074714445885
159,1,13,58.00615384615384,30.476923076923075,85.58999999999999,52.32,35.840189500502824
160,1,13,57.620769230769234,30.56692307692308,85.75,52.56,35.77818992844961
161,1,12,56.0225,29.719166666666666,85.75,52.68,36.720752893364754
162,1,11,53.77909090909091,27.930909090909097,85.62,52.73,37.06228048448643
163,1,13,57.01230769230769,30.84307692307692,85.65,52.81,35.702535470933356
164,1,12,55.862500000000004,29.96166666666667,85.53,52.85,36.72828677335162
165,1,13,57.132307692307684,30.901538461538454,85.25999999999999,52.83,35.65419448838221
166,1,11,54.00636363636363,28.09,84.86000000000001,52.9,37.09260236776631
167,1,13,57.2776923076923,31.253846153846155,84.33,52.93,35.79276585532284
168,1,12,55.57416666666668,29.589166666666667,83.81,52.98,36.0489528088003
169,1,12,55.895,29.6075,83.69,53.1,36.115294688215776
170,1,13,58.30384615384616,31.275384615384613,83.71,53.209999999999994,35.93630201296266
171,1,12,56.45249999999999,29.568333333333328,83.72,53.239999999999995,36.08665172385613
172,1,13,58.868461538461546,31.183076923076918,84.03,53.26,35.90677913940041
173,1,13,59.410769230769226,31.174615384615393,84.81,53.24,35.93200246553805
174,1,12,59.0625,29.949999999999992,85.72,53.25,37.03486760810682
175,1,13,60.862307692307695,31.184615384615384,87.0,53.24,36.14808107881348
176,1,12,59.550000000000004,29.460000000000004,88.41,53.24,36.38136175754466
177,1,12,60.012499999999996,29.63166666666666,89.21000000000001,53.230000000000004,36.52003056733235
178,1,12,61.83166666666667,29.958333333333332,90.66,53.300000000000004,37.40872662598632
179,1,11,60.27181818181818,27.95818181818182,92.3,53.4,37.48529108775713
180,1,11,61.435454545454554,27.91818181818182,93.99,53.45,37.62010105390182
181,1,11,62.60545454545454,27.937272727272727,94.92,53.660000000000004,37.781389226718844
182,1,10,59.620000000000005,25.467999999999996,83.46,51.67,36.41337825580044
183,1,11,63.94818181818182,27.89363636363636,91.55,53.13,37.601851765549355
184,1,9,60.00444444444444,23.416666666666668,85.31,51.78,38.063668040420886
185,1,10,61.98199999999999,25.499000000000002,87.7,51.99,37.05258783135126
186,1,9,59.31666666666667,25.124444444444446,83.57,52.309999999999995,37.44297445185771
187,1,10,64.434,25.822999999999997,92.61,52.699999999999996,38.04995565043407
188,1,9,61.5611111111111,25.514444444444447,87.42999999999999,53.17,38.19828517255005
189,1,10,66.107,27.713,92.89,53.34,38.894152542509524
190,1,9,63.11333333333333,25.75111111111111,90.13,53.7,38.809712542794244
191,1,9,64.28777777777778,25.976666666666663,92.37,54.28,39.15079955981537
192,1,9,65.64555555555555,26.143333333333334,94.67,54.78,39.66428735472282
193,1,8,62.04375,23.406250000000004,86.27000000000001,55.39,39.09056307953366
194,1,8,63.434999999999995,23.57125,91.39,55.830000000000005,39.92358401919222
195,1,8,63.7275,23.62125,91.61999999999999,55.93,40.04010838755934
196,1,8,64.2775,23.735,92.42,56.26,40.36433628526549
197,1,7,59.16428571428572,19.307142857142857,91.14,48.95,38.782547831808714
198,1,7,59.45999999999999,20.647142857142857,93.36,56.82,40.22994325988886
199,1,7,59.605714285714285,20.502857142857142,94.21,55.07,40.226434297940585
200,1,6,52.21666666666666,14.996666666666668,83.59,49.81,35.94793055394304
201,1,6,52.20166666666666,15.021666666666667,83.61,49.93,35.97450617373982
202,1,6,52.21166666666667,15.1,83.6,50.199999999999996,36.032609960361675
203,1,6,52.423333333333325,15.163333333333332,83.63,50.489999999999995,36.03625412152477
204,1,6,52.47,15.206666666666669,83.61999999999999,50.6,36.028508465133854
205,1,7,59.80571428571428,19.795714285714286,95.59,50.699999999999996,39.80203358562249
206,1,7,59.64142857142857,19.812857142857144,95.57000000000001,50.73,39.835407847383046
207,1,7,59.567142857142855,19.83142857142857,95.57000000000001,50.74,39.86044302773549
208,1,7,59.42857142857143,19.872857142857146,95.64999999999999,50.7,39.914347274724996
209,1,7,59.25428571428572,19.89428571428571,95.49000000000001,50.65,39.907196527617394
210,1,7,59.074285714285715,19.872857142857146,95.16,50.63,39.84654585188697
211,1,7,58.74857142857143,19.804285714285715,94.47999999999999,50.6,39.748560903227066
212,1,7,58.49857142857143,19.73857142857143,93.96,50.52,39.65619456461927
213,1,7,58.39285714285713,19.715714285714284,93.78,50.49,39.62710528753504
214,1,7,58.19571428571428,19.694285714285716,93.23,50.51,39.534865883270214
215,1,7,57.887142857142855,19.610000000000003,92.42999999999999,50.230000000000004,39.370690590222324
216,1,6,50.38,15.116666666666665,83.68,50.19,35.86135276620533
217,1,7,57.42,19.55,91.21000000000001,50.15,39.148215430956384
218,1,8,63.50125,23.59375,97.04,53.07,41.40466078082273
