team,player_track_id,role_order_x,median_x_m,median_y_m
1,301,1,0.07,69.04
1,746,2,1.03,51.35
1,717,3,1.48,41.68
1,371,4,2.29,22.435
1,293,5,2.535,48.265
1,341,6,2.66,46.19
1,262,7,2.7199999999999998,41.019999999999996
1,391,8,3.44,28.34
1,453,9,4.5,22.88
1,366,10,6.48,28.44
1,670,11,7.6899999999999995,30.02
1,533,12,8.23,24.810000000000002
1,534,13,8.375,38.17
1,491,14,9.690000000000001,40.540000000000006
1,8,15,9.81,-0.86
1,737,16,10.085,51.129999999999995
1,499,17,10.34,40.55
1,615,18,12.3,27.314999999999998
1,680,19,12.684999999999999,38.6
1,264,20,13.27,41.31999999999999
1,476,21,13.51,27.12
1,536,22,14.18,28.82
1,624,23,14.24,51.480000000000004
1,404,24,14.46,33.89
1,325,25,14.56,62.88
1,255,26,15.215,56.845
1,282,27,15.42,40.84
1,584,28,16.18,24.51
1,457,29,16.53,29.94
1,758,30,16.54,5.3
1,238,31,16.56,32.29
1,331,32,17.74,41.65
1,266,33,17.75,66.71
1,784,34,19.16,39.864999999999995
1,557,35,19.66,22.31
1,460,36,21.735,32.0
1,777,37,22.56,69.75
1,483,38,24.85,45.56
1,345,39,25.74,60.519999999999996
1,644,40,25.87,36.91
1,296,41,26.125,39.94
1,730,42,26.53,32.36
1,272,43,26.57,39.31
1,14,44,26.9,46.92
1,1,45,27.39,36.68
1,582,46,27.88,10.4
1,44,47,28.65,46.16
1,778,48,28.75,4.885
1,648,49,29.02,35.62
1,735,50,29.54,34.305
1,531,51,29.55,33.52
1,37,52,29.68,40.69
1,7,53,30.09,-0.89
1,740,54,30.89,55.0
1,4,55,31.92,45.63
1,112,56,32.91,41.25
1,369,57,33.03,23.1
1,178,58,34.52,8.9
1,265,59,35.74,43.36
1,532,60,36.315,33.635000000000005
1,634,61,38.6,34.644999999999996
1,766,62,39.03,55.245000000000005
1,392,63,39.445,26.15
1,755,64,40.355000000000004,65.235
1,480,65,40.5,61.77
1,627,66,41.835,67.675
1,380,67,43.25,36.53
1,813,68,43.68,56.31
1,597,69,44.585,16.37
1,515,70,45.03,15.23
1,719,71,45.254999999999995,36.459999999999994
1,527,72,45.629999999999995,51.965
1,370,73,46.86,30.32
1,581,74,48.17,16.015
1,814,75,50.16,51.18
1,492,76,50.275,39.035
1,18,77,50.31,39.87
1,9,78,51.29,-0.92
1,263,79,51.415000000000006,45.96
1,214,80,51.629999999999995,9.03
1,2,81,51.644999999999996,31.244999999999997
1,458,82,52.33,29.1
1,465,83,52.46,25.19
1,103,84,52.655,44.545
1,367,85,53.5,44.14
1,586,86,54.05,13.87
1,60,87,57.364999999999995,34.224999999999994
1,505,88,57.53,38.6
1,774,89,57.72,38.27
1,501,90,58.88,39.2
1,525,91,60.34,38.28
1,176,92,60.39,32.93
1,530,93,60.91,40.98
1,812,94,60.935,64.515
1,323,95,61.18,39.7
1,40,96,62.144999999999996,32.975
1,630,97,62.74,46.16
1,485,98,63.92,38.865
1,321,99,64.81,37.48
1,455,100,65.295,25.995
1,253,101,65.55,44.58
1,378,102,66.31,26.61
1,319,103,67.34,36.12
1,448,104,67.795,29.200000000000003
1,58,105,69.89,34.61
1,74,106,70.32,45.8
1,760,107,70.53,54.63
1,596,108,71.97,14.52
1,113,109,72.055,30.54
1,631,110,73.56,34.58
1,410,111,73.79,34.5
1,762,112,74.11,-1.01
1,6,113,74.11,-1.05
1,49,114,74.39,38.01
1,488,115,77.77,38.415
1,659,116,78.58,36.63
1,402,117,78.73,29.57
1,629,118,78.79,58.65
1,792,119,79.485,64.19
1,529,120,79.715,27.134999999999998
1,346,121,80.49,58.67
1,118,122,81.53,51.31
1,90,123,81.57,45.345
1,140,124,81.89,44.655
1,291,125,81.915,43.864999999999995
1,3,126,82.015,40.485
1,373,127,82.21,25.18
1,600,128,83.45,26.82
1,337,129,83.97,42.61
1,356,130,84.37,45.56
1,385,131,85.0,30.05
1,632,132,85.36,32.175
1,441,133,86.285,31.835
1,517,134,86.795,37.275
1,177,135,87.13,19.67
1,633,136,87.38,32.87
1,143,137,87.68,51.25
1,430,138,88.395,59.34
1,5,139,89.61,38.61
1,95,140,90.44,38.12
1,678,141,90.515,36.754999999999995
1,348,142,91.29,18.24
1,10,143,93.36,-0.92
1,759,144,93.41,-0.78
1,179,145,94.705,9.485
1,669,146,94.73,30.31
1,61,147,94.9,45.67
1,775,148,95.24,3.145
1,368,149,95.36,28.44
1,773,150,95.4,34.54
1,351,151,96.98,66.55
1,322,152,97.99,43.7
1,100,153,99.36500000000001,49.65
1,484,154,99.525,39.465
1,161,155,99.545,58.79
1,397,156,99.88,29.485
1,135,157,101.445,54.855000000000004
1,148,158,103.08,46.2
1,152,159,104.21000000000001,62.0
1,764,160,105.45500000000001,57.53
1,390,161,106.56,30.14
1,389,162,106.625,13.675
2,301,1,0.36,68.87
2,680,2,1.53,38.379999999999995
2,503,3,10.595,38.54
2,670,4,21.17,30.98
2,9,5,51.26,-0.94
2,745,6,51.32,-0.89
2,755,7,53.15,60.8
2,714,8,63.86,8.565000000000001
2,485,9,65.71,39.27
2,502,10,75.95,37.58
2,488,11,85.9,37.56
2,348,12,91.8,28.08
2,766,13,92.14500000000001,59.629999999999995
2,484,14,99.515,39.455
