frame,track_id,class,team,x1,y1,x2,y2,pitch_x_m,pitch_y_m
0,1,player,1,44.8,252.6,72.2,310.7,16.18,41.4
0,2,player,1,121.1,202.5,151.1,245.8,39.99,30.57
0,3,player,1,262.0,240.6,291.4,290.8,82.9,37.87
0,4,player,1,121.5,259.2,152.5,316.5,40.23,42.29
0,5,player,1,282.8,246.8,326.3,298.4,91.38,39.11
0,6,player,1,230.2,5.0,266.7,53.4,74.07,-1.02
0,7,player,1,85.4,6.3,120.7,53.9,30.09,-0.88
0,8,player,1,19.8,5.1,52.2,54.0,9.73,-0.83
0,9,player,2,157.0,8.7,188.8,53.7,51.24,-0.94
0,10,player,1,295.7,6.1,329.8,54.5,93.45,-0.87
1,1,player,1,45.2,252.7,72.2,310.2,16.23,41.32
1,2,player,1,125.6,202.4,155.7,245.9,41.39,30.58
1,3,player,1,268.2,241.2,292.6,283.2,84.02,36.62
1,4,player,1,125.8,259.0,156.6,315.7,41.51,42.15
1,5,player,1,289.1,245.5,332.4,296.9,93.28,38.85
1,6,player,1,230.3,5.0,266.8,53.4,74.1,-1.02
1,7,player,1,85.4,6.3,120.7,54.0,30.09,-0.87
1,8,player,1,19.9,5.1,52.2,53.9,9.74,-0.85
1,9,player,2,157.0,8.6,189.0,53.9,51.27,-0.92
1,10,player,1,295.5,6.1,329.6,54.5,93.41,-0.88
2,1,player,1,49.8,251.0,71.5,297.3,16.85,39.18
2,2,player,1,129.7,203.0,159.8,246.5,42.63,30.68
2,3,player,1,269.0,242.0,292.0,282.0,84.04,36.41
2,4,player,1,127.9,258.6,159.7,317.0,42.31,42.35
2,5,player,1,290.1,244.4,333.9,296.5,93.66,38.79
2,6,player,1,230.3,5.0,266.8,53.4,74.11,-1.03
2,7,player,1,85.4,6.4,120.7,54.0,30.08,-0.86
2,8,player,1,19.9,5.1,52.2,53.9,9.76,-0.85
2,9,player,2,157.0,8.5,189.0,53.8,51.26,-0.93
2,10,player,1,295.5,6.2,329.6,54.5,93.41,-0.88
3,1,player,1,51.1,250.6,71.0,293.2,16.98,38.5
3,2,player,1,130.5,203.3,160.6,246.7,42.88,30.71
3,3,player,1,269.1,242.3,291.7,281.9,84.0,36.4
3,4,player,1,128.4,258.5,160.8,317.3,42.55,42.42
3,5,player,1,290.1,244.0,334.1,296.5,93.69,38.78
3,6,player,1,230.4,5.0,266.8,53.4,74.12,-1.03
3,7,player,1,85.4,6.4,120.7,54.0,30.07,-0.86
3,8,player,1,19.9,5.1,52.3,53.9,9.76,-0.85
3,9,player,2,157.0,8.5,189.0,53.8,51.26,-0.93
3,10,player,1,295.5,6.2,329.6,54.5,93.4,-0.88
3,14,player,1,0.0,323.2,12.2,385.9,-0.09,54.03
4,1,player,1,54.1,249.6,79.2,303.0,18.69,40.12
4,2,player,1,132.9,203.2,162.8,246.5,43.57,30.67
4,3,player,1,270.4,241.9,297.2,289.2,85.05,37.6
4,4,player,1,129.0,258.6,162.6,318.4,42.93,42.6
4,5,player,1,285.6,243.4,329.4,297.1,92.28,38.89
4,6,player,1,230.2,5.0,266.7,53.4,74.06,-1.02
4,7,player,1,85.5,6.4,120.6,53.8,30.08,-0.89
4,8,player,1,19.8,5.1,52.2,53.9,9.74,-0.85
4,9,player,2,157.0,8.6,188.9,53.7,51.27,-0.94
4,10,player,1,295.2,6.2,329.3,54.5,93.32,-0.88
5,1,player,1,55.0,248.3,80.7,301.6,19.05,39.89
5,2,player,1,133.9,203.7,163.2,246.5,43.8,30.67
5,3,player,1,271.6,241.5,300.3,291.5,85.71,37.98
5,4,player,1,131.0,259.9,165.1,320.1,43.62,42.87
5,5,player,1,288.2,243.6,331.2,297.4,92.95,38.94
5,6,player,1,230.2,5.1,266.6,53.4,74.06,-1.02
5,7,player,1,85.5,6.4,120.6,53.9,30.09,-0.88
5,8,player,1,19.8,5.1,52.1,53.9,9.72,-0.85
5,9,player,2,157.1,8.6,189.0,53.7,51.29,-0.94
5,10,player,1,295.1,6.2,329.3,54.6,93.29,-0.86
5,14,player,1,1.2,313.0,11.2,364.3,-0.0,50.4
6,1,player,1,55.4,247.2,82.7,302.1,19.42,39.97
6,2,player,1,137.7,204.4,165.9,246.2,44.79,30.62
6,3,player,1,268.7,241.7,298.1,293.2,84.93,38.27
6,4,player,1,130.9,260.8,164.8,320.3,43.54,42.9
6,5,player,1,288.1,242.9,329.8,296.5,92.73,38.79
6,6,player,1,230.3,5.0,266.7,53.3,74.08,-1.03
6,7,player,1,85.5,6.4,120.8,53.9,30.11,-0.87
6,8,player,1,19.8,5.1,52.1,53.9,9.72,-0.85
6,9,player,2,157.1,8.6,189.1,53.7,51.3,-0.94
6,10,player,1,295.3,6.1,329.5,54.5,93.37,-0.87
6,14,player,1,5.3,309.8,16.0,362.0,1.36,50.02
7,1,player,1,55.9,246.3,82.1,298.8,19.41,39.42
7,2,player,1,142.4,204.0,170.9,246.3,46.27,30.63
7,3,player,1,267.4,242.0,297.1,295.2,84.6,38.6
7,4,player,1,127.4,262.0,161.1,320.9,42.45,43.02
7,5,player,1,289.2,241.5,330.6,295.7,93.01,38.66
7,6,player,1,230.3,5.0,266.8,53.4,74.1,-1.03
7,7,player,1,85.5,6.4,120.8,54.0,30.11,-0.86
7,8,player,1,19.9,5.1,52.4,53.9,9.78,-0.84
7,9,player,2,157.0,8.6,188.9,53.7,51.25,-0.94
7,10,player,1,295.2,6.1,329.5,54.6,93.35,-0.86
8,1,player,1,57.3,246.0,80.3,291.9,19.37,38.27
8,2,player,1,145.5,203.8,173.7,245.0,47.17,30.42
8,3,player,1,269.4,241.8,298.3,295.8,85.08,38.7
8,4,player,1,128.1,262.6,162.2,321.2,42.72,43.05
8,5,player,1,291.2,240.1,329.5,290.7,93.14,37.83
8,6,player,1,230.3,5.0,266.7,53.4,74.09,-1.02
8,7,player,1,85.5,6.4,120.7,53.9,30.09,-0.88
8,8,player,1,19.9,5.1,52.3,53.9,9.77,-0.84
8,9,player,2,156.9,8.5,188.9,53.7,51.24,-0.95
8,10,player,1,295.3,6.2,329.5,54.6,93.36,-0.87
8,14,player,1,5.8,308.6,19.6,373.7,1.98,51.97
9,1,player,1,56.6,246.0,83.4,300.0,19.72,39.61
9,2,player,1,146.1,203.7,174.5,244.6,47.39,30.35
9,3,player,1,270.4,241.8,298.3,296.0,85.24,38.73
9,4,player,1,128.2,262.9,162.7,321.2,42.81,43.07
9,5,player,1,291.9,239.6,329.0,288.9,93.17,37.53
9,6,player,1,230.3,5.0,266.8,53.4,74.1,-1.02
9,7,player,1,85.4,6.4,120.6,53.9,30.08,-0.88
9,8,player,1,19.9,5.1,52.3,53.9,9.76,-0.84
9,9,player,2,156.9,8.5,188.9,53.7,51.24,-0.95
9,10,player,1,295.3,6.2,329.5,54.5,93.36,-0.87
9,14,player,1,5.5,308.1,20.5,376.1,2.06,52.38
10,1,player,1,57.2,245.3,85.3,301.7,20.09,39.9
10,2,player,1,148.6,203.6,177.8,245.6,48.26,30.51
10,3,player,1,271.5,241.3,296.6,291.3,85.14,37.95
10,4,player,1,129.1,262.1,164.8,320.8,43.29,42.99
10,5,player,1,292.9,239.4,327.6,286.0,93.11,37.05
10,6,player,1,230.3,5.0,266.8,53.4,74.1,-1.02
10,7,player,1,85.4,6.4,120.6,53.8,30.07,-0.89
10,8,player,1,19.9,5.1,52.3,53.9,9.76,-0.84
10,9,player,2,157.0,8.5,188.9,53.7,51.25,-0.94
10,10,player,1,295.5,6.1,329.6,54.5,93.41,-0.87
10,14,player,1,7.8,306.5,23.9,376.6,2.93,52.46
11,1,player,1,59.9,244.4,88.2,301.4,20.97,39.84
11,2,player,1,150.3,203.7,180.0,246.7,48.86,30.69
11,3,player,1,273.4,240.9,296.6,286.6,85.41,37.17
11,4,player,1,131.6,262.4,168.0,320.9,44.14,43.0
11,5,player,1,289.1,238.1,322.9,284.0,91.82,36.71
11,6,player,1,230.4,5.1,266.8,53.4,74.11,-1.02
11,7,player,1,85.5,6.4,120.6,53.8,30.08,-0.9
11,8,player,1,19.8,5.1,52.3,53.9,9.75,-0.85
11,9,player,2,157.0,8.6,188.9,53.7,51.26,-0.95
11,10,player,1,295.5,6.1,329.7,54.5,93.42,-0.87
11,14,player,1,10.1,304.6,27.2,374.8,3.79,52.16
12,1,player,1,63.7,243.4,90.5,296.9,21.89,39.09
12,2,player,1,150.3,203.9,179.6,247.4,48.79,30.8
12,3,player,1,273.2,240.4,299.6,290.9,85.85,37.88
12,4,player,1,131.4,262.7,169.1,321.6,44.3,43.12
12,5,player,1,286.5,237.5,322.1,286.3,91.29,37.1
12,6,player,1,230.5,5.1,266.8,53.4,74.14,-1.02
12,7,player,1,85.5,6.4,120.7,53.8,30.1,-0.89
12,8,player,1,19.8,5.1,52.3,54.0,9.75,-0.84
12,9,player,2,157.1,8.5,189.0,53.7,51.28,-0.94
12,10,player,1,295.5,6.1,329.6,54.6,93.41,-0.87
12,14,player,1,13.4,302.8,30.9,369.7,4.88,51.3
13,1,player,1,64.1,241.9,90.9,295.3,22.02,38.83
13,2,player,1,151.6,204.0,180.3,247.6,49.11,30.83
13,3,player,1,269.0,240.2,296.4,293.0,84.73,38.24
13,4,player,1,131.0,263.6,168.9,322.5,44.2,43.27
13,5,player,1,289.1,237.7,324.6,287.2,92.06,37.24
13,6,player,1,230.3,5.1,266.7,53.4,74.09,-1.02
13,7,player,1,85.5,6.4,120.6,53.7,30.08,-0.9
13,8,player,1,19.8,5.1,52.2,53.8,9.73,-0.85
13,9,player,2,157.1,8.5,189.1,53.7,51.29,-0.94
13,10,player,1,295.4,6.1,329.5,54.5,93.38,-0.87
13,14,player,1,16.5,301.2,34.7,367.0,5.97,50.83
14,1,player,1,65.9,240.8,93.8,295.9,22.74,38.92
14,2,player,1,154.4,204.0,183.5,248.1,50.03,30.92
14,3,player,1,265.9,240.5,293.6,295.1,83.83,38.58
14,4,player,1,129.3,264.0,166.8,323.1,43.62,43.36
14,5,player,1,290.4,238.2,326.1,287.8,92.49,37.35
14,6,player,1,230.3,5.1,266.7,53.4,74.09,-1.02
14,7,player,1,85.4,6.4,120.6,53.8,30.06,-0.89
14,8,player,1,19.7,5.1,52.2,53.9,9.71,-0.85
14,9,player,2,157.0,8.6,188.9,53.7,51.26,-0.95
14,10,player,1,295.5,6.1,329.6,54.5,93.4,-0.88
14,14,player,1,19.9,300.2,38.6,365.9,7.09,50.64
15,1,player,1,67.5,240.4,95.3,295.8,23.23,38.9
15,2,player,1,156.4,204.0,185.3,247.5,50.6,30.81
15,3,player,1,266.7,241.4,293.7,297.3,83.98,38.95
15,4,player,1,127.2,264.1,163.7,323.1,42.81,43.37
15,5,player,1,289.5,239.5,325.7,289.5,92.3,37.63
15,6,player,1,230.3,5.1,266.7,53.4,74.09,-1.02
15,7,player,1,85.4,6.4,120.6,53.9,30.06,-0.88
15,8,player,1,19.7,5.1,52.1,53.9,9.71,-0.85
15,9,player,2,157.0,8.5,189.0,53.7,51.26,-0.94
15,10,player,1,295.6,6.1,329.6,54.4,93.42,-0.88
15,14,player,1,21.7,299.2,41.2,365.7,7.75,50.62
15,18,player,1,0.4,244.1,16.1,284.9,0.8,37.17
16,1,player,1,68.0,240.3,95.6,295.8,23.34,38.9
16,2,player,1,156.9,204.1,185.8,247.2,50.76,30.77
16,3,player,1,267.4,241.8,293.4,298.2,84.03,39.09
16,4,player,1,126.6,264.1,162.1,323.1,42.49,43.38
16,5,player,1,289.1,240.0,325.5,290.2,92.21,37.74
16,6,player,1,230.4,5.1,266.7,53.4,74.1,-1.02
16,7,player,1,85.4,6.4,120.6,53.9,30.06,-0.87
16,8,player,1,19.7,5.1,52.1,53.9,9.71,-0.85
16,9,player,2,157.0,8.5,189.0,53.7,51.27,-0.94
16,10,player,1,295.6,6.1,329.6,54.4,93.43,-0.89
16,14,player,1,21.8,298.6,42.0,365.6,7.89,50.59
16,18,player,1,0.5,244.0,16.1,284.6,0.81,37.13
17,1,player,1,68.0,240.0,95.1,295.9,23.27,38.93
17,2,player,1,156.3,204.3,185.4,247.9,50.59,30.88
17,3,player,1,267.4,242.6,292.9,298.1,83.96,39.09
17,4,player,1,127.6,264.1,162.9,322.8,42.75,43.33
17,5,player,1,288.6,241.3,324.2,291.5,91.93,37.95
17,6,player,1,230.4,5.1,266.7,53.4,74.1,-1.02
17,7,player,1,85.4,6.3,120.7,53.9,30.08,-0.88
17,8,player,1,19.8,5.1,52.3,54.0,9.75,-0.83
17,9,player,2,156.9,8.5,188.9,53.7,51.25,-0.94
17,10,player,1,295.5,6.1,329.6,54.4,93.41,-0.88
17,14,player,1,24.4,297.6,45.0,365.0,8.77,50.5
18,1,player,1,69.8,239.8,95.5,294.5,23.61,38.7
18,2,player,1,156.0,205.6,184.2,248.5,50.37,30.99
18,3,player,1,267.8,243.4,293.2,298.1,84.07,39.08
18,4,player,1,127.2,263.6,162.4,321.4,42.63,43.09
